,order_number,line_item,order_date,delivery_date,customerkey,storekey,productkey,quantity,currency_code,gender,name,city,state_code,state,zip_code,country,continent,birthday,date,currency,exchange,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,square_meters,open_date
0,1603022,2,2019-05-22,Not Available,1416469,47,1304,3,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2019-05-22,USD,1.0,Contoso Lens Adapter M450 White,Contoso,White,31.27,68.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,1120.0,2015-04-04
1,589006,2,2016-08-11,Not Available,1820936,47,1648,1,USD,Male,Cliff Johnson,Pahala,HI,Hawaii,96777,United States,North America,1957-11-28,2016-08-11,USD,1.0,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Black,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
2,1500010,1,2019-02-08,Not Available,1353710,47,1632,7,USD,Male,Thomas Gallup,Honolulu,HI,Hawaii,96826,United States,North America,1960-04-09,2019-02-08,USD,1.0,Contoso DVD 48 DVD Storage Binder M50 Silver,Contoso,Silver,8.27,17.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
3,1741003,1,2019-10-07,Not Available,1756245,47,1048,3,USD,Female,Christel Motley,Mililani,HI,Hawaii,96789,United States,North America,1967-06-02,2019-10-07,USD,1.0,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.47,427.0,402,Digital SLR Cameras,4,Cameras and camcorders,1120.0,2015-04-04
4,1970008,3,2020-05-23,Not Available,1861020,47,1297,5,USD,Male,Scott Fullen,Waimea,HI,Hawaii,96796,United States,North America,1999-01-15,2020-05-23,USD,1.0,Contoso USB Cable M250 White,Contoso,White,11.5,25.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,1120.0,2015-04-04
5,635000,1,2016-09-26,Not Available,1353710,47,1654,1,USD,Male,Thomas Gallup,Honolulu,HI,Hawaii,96826,United States,North America,1960-04-09,2016-09-26,USD,1.0,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Silver,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
6,1989006,2,2020-06-11,Not Available,1820936,47,1312,1,USD,Male,Cliff Johnson,Pahala,HI,Hawaii,96777,United States,North America,1957-11-28,2020-06-11,USD,1.0,Contoso Conversion Lens M550 Blue,Contoso,Blue,94.27,205.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,1120.0,2015-04-04
7,1501004,1,2019-02-09,Not Available,1861020,47,454,7,USD,Male,Scott Fullen,Waimea,HI,Hawaii,96796,United States,North America,1999-01-15,2019-02-09,USD,1.0,WWI Desktop PC1.80 E1801 Brown,Wide World Importers,Brown,137.6,269.9,303,Desktops,3,Computers,1120.0,2015-04-04
8,1389023,1,2018-10-20,Not Available,1999721,47,1656,1,USD,Male,Tihomil Boic,Honolulu,HI,Hawaii,96819,United States,North America,1990-09-15,2018-10-20,USD,1.0,Contoso DVD 9-Inch Player Portable M300 White,Contoso,White,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
9,577005,6,2016-07-30,Not Available,1250408,47,1146,2,USD,Female,Julia Huddleston,Honolulu,HI,Hawaii,96815,United States,North America,2001-02-01,2016-07-30,USD,1.0,"Fabrikam Home and vacation moviemaker 1/3"" 8.5mm M200 Blue",Fabrikam,Blue,291.09,633.0,405,Camcorders,4,Cameras and camcorders,1120.0,2015-04-04
10,1414020,2,2018-11-14,Not Available,2000732,47,1635,1,USD,Female,Sabina Jonasson,Honolulu,HI,Hawaii,96813,United States,North America,1996-08-11,2018-11-14,USD,1.0,Contoso DVD 60 DVD Storage Binder L20 Silver,Contoso,Silver,7.58,22.89,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
11,1980000,4,2020-06-02,Not Available,1416469,47,1558,3,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2020-06-02,USD,1.0,The Phone Company PDA Wifi 4.7-inch L290 White,The Phone Company,White,125.9,380.0,504,Smart phones & PDAs,5,Cell phones,1120.0,2015-04-04
12,1330013,3,2018-08-22,Not Available,1620629,47,453,1,USD,Female,Emily Williams,Hanapepe,HI,Hawaii,96716,United States,North America,1975-01-13,2018-08-22,USD,1.0,WWI Desktop PC1.80 E1800 Silver,Wide World Importers,Silver,117.21,229.9,303,Desktops,3,Computers,1120.0,2015-04-04
13,577005,7,2016-07-30,Not Available,1250408,47,1655,1,USD,Female,Julia Huddleston,Honolulu,HI,Hawaii,96815,United States,North America,2001-02-01,2016-07-30,USD,1.0,Contoso DVD 15-Inch Player Portable L200 Silver,Contoso,Silver,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
14,1217003,1,2018-05-01,Not Available,1571781,47,1586,3,USD,Male,Douglas Steward,Honolulu,HI,Hawaii,96813,United States,North America,1973-02-03,2018-05-01,USD,1.0,SV DVD 55DVD Storage Binder M56 Black,Southridge Video,Black,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
15,1980000,2,2020-06-02,Not Available,1416469,47,1586,5,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2020-06-02,USD,1.0,SV DVD 55DVD Storage Binder M56 Black,Southridge Video,Black,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
16,1450063,1,2018-12-20,Not Available,2090423,47,1621,2,USD,Female,Brigitte Archambault,Keaau,HI,Hawaii,96749,United States,North America,1971-07-05,2018-12-20,USD,1.0,Contoso DVD Movies E100 Yellow,Contoso,Yellow,6.62,12.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
17,1501004,2,2019-02-09,Not Available,1861020,47,283,3,USD,Male,Scott Fullen,Waimea,HI,Hawaii,96796,United States,North America,1999-01-15,2019-02-09,USD,1.0,Contoso Home Theater System 5.1 Channel M1500 Brown,Contoso,Brown,197.28,429.0,203,Home Theater System,2,TV and Video,1120.0,2015-04-04
18,1520025,1,2019-02-28,Not Available,1239466,47,425,4,USD,Male,Sheldon Brooks,Waipahu,HI,Hawaii,96797,United States,North America,1960-05-18,2019-02-28,USD,1.0,Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Black,188.13,369.0,303,Desktops,3,Computers,1120.0,2015-04-04
19,1886006,4,2020-02-29,Not Available,1756245,47,110,4,USD,Female,Christel Motley,Mililani,HI,Hawaii,96789,United States,North America,1967-06-02,2020-02-29,USD,1.0,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,Blue,61.16,132.99,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
20,1889018,1,2020-03-03,Not Available,1323956,47,1039,1,USD,Male,Ruben White,Honolulu,HI,Hawaii,96818,United States,North America,1989-10-06,2020-03-03,USD,1.0,A. Datum SLR-like Digital Camera M400 Azure,A. Datum,Azure,90.55,196.9,401,Digital Cameras,4,Cameras and camcorders,1120.0,2015-04-04
21,2022009,1,2020-07-14,Not Available,1638118,47,515,1,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2020-07-14,USD,1.0,Adventure Works CRT17 E105 White,Adventure Works,White,30.08,59.0,304,Monitors,3,Computers,1120.0,2015-04-04
22,1774019,1,2019-11-09,Not Available,1416469,47,78,4,USD,Female,Megan Budde,Waimea,HI,Hawaii,96796,United States,North America,1950-04-02,2019-11-09,USD,1.0,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Silver,18.65,40.55,106,Bluetooth Headphones,1,Audio,1120.0,2015-04-04
23,1330013,2,2018-08-22,Not Available,1620629,47,1642,1,USD,Female,Emily Williams,Hanapepe,HI,Hawaii,96716,United States,North America,1975-01-13,2018-08-22,USD,1.0,Contoso DVD External DVD Burner M200 Black,Contoso,Black,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
24,577005,4,2016-07-30,Not Available,1250408,47,1591,10,USD,Female,Julia Huddleston,Honolulu,HI,Hawaii,96815,United States,North America,2001-02-01,2016-07-30,USD,1.0,SV DVD 55DVD Storage Binder M56 Silver,Southridge Video,Silver,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
25,1452088,6,2018-12-22,Not Available,1638118,47,448,5,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-12-22,USD,1.0,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Black,137.6,269.9,303,Desktops,3,Computers,1120.0,2015-04-04
26,1330013,1,2018-08-22,Not Available,1620629,47,480,5,USD,Female,Emily Williams,Hanapepe,HI,Hawaii,96716,United States,North America,1975-01-13,2018-08-22,USD,1.0,Proseware LCD20W M230 White,Proseware,White,128.3,279.0,304,Monitors,3,Computers,1120.0,2015-04-04
27,1393014,3,2018-10-24,Not Available,1638118,47,430,3,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2018-10-24,USD,1.0,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.63,269.95,303,Desktops,3,Computers,1120.0,2015-04-04
28,729021,2,2016-12-29,Not Available,1638118,47,2495,3,USD,Female,Lillian Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,2016-12-29,USD,1.0,Headphone Adapter for Contoso Phone E130 Black,Contoso,Black,5.09,9.99,505,Cell phones Accessories,5,Cell phones,1120.0,2015-04-04
29,1217003,2,2018-05-01,Not Available,1571781,47,1592,2,USD,Male,Douglas Steward,Honolulu,HI,Hawaii,96813,United States,North America,1973-02-03,2018-05-01,USD,1.0,SV DVD 48 DVD Storage Binder M50 Red,Southridge Video,Red,8.27,17.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
30,635000,2,2016-09-26,Not Available,1353710,47,1592,1,USD,Male,Thomas Gallup,Honolulu,HI,Hawaii,96826,United States,North America,1960-04-09,2016-09-26,USD,1.0,SV DVD 48 DVD Storage Binder M50 Red,Southridge Video,Red,8.27,17.99,602,Movie DVD,6,"Music, Movies and Audio Books",1120.0,2015-04-04
31,1374021,1,2018-10-05,Not Available,1620629,47,1479,5,USD,Female,Emily Williams,Hanapepe,HI,Hawaii,96716,United States,North America,1975-01-13,2018-10-05,USD,1.0,The Phone Company Smart phones Unlocked International M800 Black,The Phone Company,Black,142.56,310.0,504,Smart phones & PDAs,5,Cell phones,1120.0,2015-04-04
32,1953006,2,2020-05-06,Not Available,1354052,47,1540,2,USD,Male,George Heath,Waipahu,HI,Hawaii,96797,United States,North America,1956-04-16,2020-05-06,USD,1.0,The Phone Company PDA Wifi 4.7-inch L290 Silver,The Phone Company,Silver,125.9,380.0,504,Smart phones & PDAs,5,Cell phones,1120.0,2015-04-04
